,size,alpha,Run,half_time,percolation_system,segregation_coefficient,stopping_step,density,pop_weights,fixed_areas_pc,cluster_threshold,homophily,stopping_threshold,stats,server
82,150,0.9,82,1.0,True,0.5154681975308643,79,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
83,150,0.9,83,1.0,True,0.5065529211248285,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
84,150,0.9,84,1.0,True,0.5015444451303155,50,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
85,150,0.9142857142857143,85,1.0,True,0.527753585048011,85,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
86,150,0.9142857142857143,86,1.0,True,0.5125626412894376,51,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
87,150,0.9142857142857143,87,1.0,True,0.5250841680384088,53,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
88,150,0.9142857142857143,88,1.0,True,0.695904365569273,83,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
89,150,0.9142857142857143,89,1.0,True,0.5246242050754458,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
90,150,0.9285714285714286,90,1.0,True,0.5168428765432099,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
91,150,0.9285714285714286,91,1.0,True,0.49721197530864203,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
92,150,0.9285714285714286,92,1.0,True,0.5433633100137174,88,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
93,150,0.9285714285714286,93,1.2964744710031961,True,0.5470023827160494,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
94,150,0.9285714285714286,94,1.0,True,0.5414761063100137,43,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
95,150,0.9428571428571428,95,1.0,True,0.5269430308641976,61,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
96,150,0.9428571428571428,96,1.0,True,0.5153403244170096,59,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
97,150,0.9428571428571428,97,1.099777683300759,True,0.5334378587105625,75,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
98,150,0.9428571428571428,98,1.3567684467276433,True,0.5344180000000001,85,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
99,150,0.9428571428571428,99,1.7117565491010005,True,0.5222718360768176,101,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
