,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
82,0.96,0.86,82,1.0,True,0.4780311111111111,23,126.30000000000001,25,"(0.6, 0.4)",5,0.0,4,5,True,False
83,0.96,0.86,83,1.008229529667365,True,0.4279982222222222,26,108.14,25,"(0.6, 0.4)",5,0.0,4,5,True,False
84,0.96,0.86,84,1.0,True,0.45305422222222225,27,62.66,25,"(0.6, 0.4)",5,0.0,4,5,True,False
85,0.96,0.87,85,1.0,True,0.5200968888888888,20,103.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
86,0.96,0.87,86,1.0,True,0.47420533333333326,24,88.85,25,"(0.6, 0.4)",5,0.0,4,5,True,False
87,0.96,0.87,87,1.4634058721135679,True,0.5317546666666666,21,134.95,25,"(0.6, 0.4)",5,0.0,4,5,True,False
88,0.96,0.87,88,1.0,True,0.666112,27,267.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
89,0.96,0.87,89,1.0,True,0.5183271111111111,25,104.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
90,0.96,0.88,90,1.0,True,0.4576355555555556,18,139.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
91,0.96,0.88,91,1.0,True,0.43664888888888886,22,91.13333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
92,0.96,0.88,92,1.0,True,0.5835742222222222,33,228.79999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
93,0.96,0.88,93,1.0,True,0.40615199999999996,27,111.76666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
94,0.96,0.88,94,1.3189030081481556,True,0.5782737777777778,27,104.60000000000001,25,"(0.6, 0.4)",5,0.0,4,5,True,False
95,0.96,0.89,95,1.0,True,0.4242097777777778,22,83.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
96,0.96,0.89,96,1.360106470616764,True,0.5906417777777777,34,79.32,25,"(0.6, 0.4)",5,0.0,4,5,True,False
97,0.96,0.89,97,1.091187048800109,True,0.5345564444444444,36,179.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
98,0.96,0.89,98,1.0,True,0.6893128888888889,24,246.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
99,0.96,0.89,99,1.0,True,0.626767111111111,24,131.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
100,0.96,0.9,100,1.0,True,0.4136631111111111,32,118.19999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
101,0.96,0.9,101,1.0,True,0.6206977777777778,27,151.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
102,0.96,0.9,102,1.0,True,0.3939662222222222,18,89.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
103,0.96,0.9,103,1.0,True,0.6286257777777777,32,179.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
104,0.96,0.9,104,1.0,False,0.381488,18,66.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
105,0.96,0.9099999999999999,105,1.0,True,0.5283422222222223,15,128.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
106,0.96,0.9099999999999999,106,1.0,True,0.4683031111111111,19,140.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
107,0.96,0.9099999999999999,107,1.6292803018845614,True,0.5761102222222222,31,131.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
108,0.96,0.9099999999999999,108,1.0,True,0.4888968888888889,18,85.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
109,0.96,0.9099999999999999,109,1.0,True,0.7328497777777777,21,186.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
110,0.96,0.9199999999999999,110,1.0,True,0.5117804444444445,29,145.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
111,0.96,0.9199999999999999,111,1.2709069126418604,True,0.746383111111111,29,132.43333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
112,0.96,0.9199999999999999,112,1.0,True,0.5679004444444444,26,181.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
113,0.96,0.9199999999999999,113,1.0,True,0.5148515555555555,26,121.02000000000001,25,"(0.6, 0.4)",5,0.0,4,5,True,False
114,0.96,0.9199999999999999,114,1.0,True,0.6064568888888888,26,187.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
115,0.96,0.9299999999999999,115,1.0,True,0.6438737777777778,17,150.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
116,0.96,0.9299999999999999,116,1.819426954964424,True,0.817472,28,295.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
117,0.96,0.9299999999999999,117,1.0,True,0.5598062222222222,28,227.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
118,0.96,0.9299999999999999,118,1.0,True,0.7710195555555555,37,142.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
119,0.96,0.9299999999999999,119,1.0,True,0.6127342222222222,16,79.35,25,"(0.6, 0.4)",5,0.0,4,5,True,False
120,0.96,0.94,120,1.0,True,0.4920053333333333,17,100.73333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
121,0.96,0.94,121,1.2388162322642078,True,0.6343751111111111,18,118.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
122,0.96,0.94,122,1.0,True,0.7270977777777778,20,150.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
123,0.96,0.94,123,1.0,True,0.6973688888888889,22,115.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
124,0.96,0.94,124,1.0,True,0.6434595555555556,43,255.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
125,0.96,0.95,125,1.0558584666880906,True,0.6871528888888889,28,237.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
126,0.96,0.95,126,1.0,True,0.5446462222222223,16,94.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
127,0.96,0.95,127,1.0,True,0.6641102222222222,32,202.60000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
128,0.96,0.95,128,1.0,True,0.8942728888888889,20,301.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
129,0.96,0.95,129,1.0,True,0.4728951111111111,13,128.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
130,0.96,0.96,130,1.0,True,0.6897902222222222,26,235.11999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
131,0.96,0.96,131,1.0,True,0.598551111111111,19,136.83333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
132,0.96,0.96,132,1.0,True,0.5702577777777778,15,144.33333333333331,25,"(0.6, 0.4)",5,0.0,4,5,True,False
133,0.96,0.96,133,1.0,True,0.6153759999999999,28,240.79999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
134,0.96,0.96,134,1.6167033627242025,True,0.6863688888888888,20,154.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
135,0.96,0.97,135,1.0,True,0.7273288888888889,28,154.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
136,0.96,0.97,136,1.2111364395687163,True,0.9060408888888889,32,278.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
137,0.96,0.97,137,1.0,True,0.7822195555555556,24,206.10000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
138,0.96,0.97,138,1.0,True,0.6516595555555555,27,252.39999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
139,0.96,0.97,139,1.0,True,0.6694702222222222,32,247.86666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
140,0.96,0.98,140,1.0,True,0.772208,20,269.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
141,0.96,0.98,141,1.0,True,0.68052,30,243.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
142,0.96,0.98,142,1.208377396265488,True,0.7630675555555555,17,105.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
143,0.96,0.98,143,1.0,True,0.8069040000000001,16,240.04000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
144,0.96,0.98,144,1.3050591221922536,True,0.6973235555555555,32,250.33333333333331,25,"(0.6, 0.4)",5,0.0,4,5,True,False
145,0.96,0.99,145,1.0349775306411402,True,0.6928755555555555,27,141.96666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
146,0.96,0.99,146,1.0,True,0.6638488888888889,27,249.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
147,0.96,0.99,147,1.0,True,0.6601555555555556,32,250.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
148,0.96,0.99,148,1.282582891965267,True,0.9217671111111111,23,175.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
149,0.96,0.99,149,1.2989922487553494,True,0.6687048888888889,22,106.86666666666666,25,"(0.6, 0.4)",5,0.0,4,5,True,False
150,0.97,0.85,150,1.415761491892171,True,0.6230942222222222,31,176.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
151,0.97,0.85,151,1.0988812686944023,True,0.24271199999999998,16,73.26666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
152,0.97,0.85,152,1.0,True,0.42144000000000004,16,198.33333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
